ufn,date_liced,lab_count_fine_no_id,lab_count_fine_total,lep_cop,lep_cunifer_cop,lep_chal_a,lep_chal_b,lep_pa_m_1,lep_pa_m_2,lep_pa_f_1,lep_pa_f_2,lep_pa_unid,lep_a_m,lep_a_f,lep_grav_f,cal_cop,cal_chal_a_1,cal_chal_a_2,cal_chal_b_3,cal_chal_b_4_f,cal_chal_b_4_m,cal_chal_4_unid,cal_chal_a_unid,cal_chal_b_unid,cal_pa_m,cal_pa_f,cal_a_m,cal_a_f,cal_grav_f,cal_mot_unid,unid_louse,lab_staff,comments,quality_level,quality_log
U929,2016-11-15,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,0,1,0,1,0,0,LP,Cal C4 UNID missing tail,Raw,NA
U997,2016-11-15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U273,2016-11-17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U357,2016-11-17,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,3,0,2,1,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U394,2016-11-17,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U331,2016-11-17,12,13,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,2,1,1,0,0,0,0,1,1,0,0,0,0,LP,NA,Raw,NA
U1216,2016-11-17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1296,2016-11-17,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U495,2016-11-17,11,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U478,2016-11-17,13,12,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U696,2016-11-17,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,LP,Cal C4 UNID missing tail,Raw,NA
U1137,2016-11-17,15,16,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2,4,1,0,0,0,0,2,0,0,0,0,0,0,LP,NA,Raw,NA
U1087,2016-11-17,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U952,2016-11-17,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,LP,"In processing comments: ""sea louse vial dropped, may have lost some lice""",Raw,NA
U1044,2016-11-17,14,13,1,0,2,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,LP,NA,Raw,NA
U1269,2016-11-17,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1093,2016-11-17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1179,2016-11-17,11,14,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,0,0,0,1,0,1,0,1,0,0,LP,NA,Raw,NA
U1288,2016-11-17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1274,2016-11-17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1335,2016-11-17,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U593,2016-11-17,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U558,2016-11-17,6,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1330,2016-11-17,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U262,2016-11-17,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1222,2016-12-04,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1067,2016-12-04,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,1,0,0,0,1,0,LP,Cal mot smashed,Raw,NA
U995,2016-12-04,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U986,2016-12-04,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U985,2016-12-04,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1061,2016-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1062,2016-12-04,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1199,2016-12-04,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1198,2016-12-04,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1197,2016-12-04,13,15,0,0,4,0,0,0,0,0,0,0,0,0,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U996,2016-12-04,17,17,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,1,0,0,0,1,3,0,0,1,0,0,LP,one Cal cop smashed- LONG tether,Raw,NA
U998,2016-12-04,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U875,2016-12-04,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,LP,NA,Raw,NA
U874,2016-12-04,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U1076,2016-12-05,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,LP,NA,Raw,NA
U1079,2016-12-05,18,18,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1084,2016-12-05,14,12,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,2,0,1,0,0,0,LP,NA,Raw,NA
U1086,2016-12-05,10,11,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1078,2016-12-05,14,15,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,1,0,0,0,0,2,0,0,0,0,0,LP,NA,Raw,NA
U1075,2016-12-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1004,2016-12-05,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1001,2016-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1133,2016-12-18,12,11,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1125,2016-12-18,10,10,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1131,2016-12-18,20,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,1,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1132,2016-12-18,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U941,2016-12-18,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1102,2016-12-18,11,12,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1126,2016-12-18,14,14,2,0,1,0,0,0,0,0,0,0,0,0,2,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,LP,NA,Raw,NA
U1127,2016-12-18,23,22,2,0,1,0,0,0,0,0,0,0,0,0,1,6,2,5,0,3,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U1024,2016-12-18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U1026,2016-12-18,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1025,2016-12-18,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,2,0,1,0,0,0,0,LP,NA,Raw,NA
U1023,2016-12-18,11,11,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1092,2016-12-18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1134,2017-01-11,20,21,0,0,1,0,0,0,0,0,0,0,0,0,2,7,7,0,2,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1208,2017-01-13,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1214,2017-01-13,11,11,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1215,2017-01-13,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1180,2017-01-13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1206,2017-01-13,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,LP,NA,Raw,NA
U1138,2017-01-13,10,10,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1139,2017-01-13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
