seine_id,bm_species,scientificName,bm_status,bm_ageclass,bm_count
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,7
DE104N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE106N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,6
DE107N1,Trout,Salmonidae,B,NA,2
DE108N1,Flatfish,Pleuronectiformes,B,J,1
DE120N2,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE120N2,Chum salmon,Oncorhynchus keta,M,J,1
DE140N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE150N3,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE154N1,Tidepool sculpin,Oligocottus maculosus,B,NA,1
DE154N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,4
DE154N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE158N2,Threespine stickleback,Gasterosteus aculeatus ,B,NA,400
DE158N2,Sculpin,Cottidae,B,NA,2
DE163N1,Chum salmon,Oncorhynchus keta,M,J,1
DE169N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE169N2,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE169N2,Chinook salmon,Oncorhynchus tshawytscha,M,J,1
DE170N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE182N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE182N1,Chinook salmon,Oncorhynchus tshawytscha,M,J,1
DE185N2,Quillback Rockfish,Sebastes,B,NA,1
DE192N3,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE192N3,Chum salmon,Oncorhynchus keta,M,J,1
DE193N1,Pacific herring,Clupea pallasii,B,Y,5000
DE193N1,Sandlance,Ammodytes personatus,B,NA,1
DE195N1,Squid,Decapodiformes,M,NA,1
DE198N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE198N2,Chum salmon,Oncorhynchus keta,M,J,1
DE214N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE214N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
DE214N1,Chum salmon,Oncorhynchus keta,M,J,1
DE216N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE217N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,10
DE217N2,Sandlance,Ammodytes personatus,M,NA,2
DE219N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,6
DE220N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE226N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE226N2,Chinook salmon,Oncorhynchus tshawytscha,M,J,1
DE234N1,Chum salmon,Oncorhynchus keta,M,J,1
DE239N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE240N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE240N1,Threespine stickleback,Gasterosteus aculeatus ,B,J,30
DE241N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE241N1,Pink salmon,Oncorhynchus gorbuscha,M,J,36
DE241N1,Chum salmon,Oncorhynchus keta,M,J,36
DE255N2,Squid,Decapodiformes,B,NA,2
DE264N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE264N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE275N1,Sockeye salmon,Oncorhynchus nerka,M,J,2
DE279N2,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE284N1,Perch,Percidae,B,NA,300
DE284N1,Bay pipefish,Syngnathus leptorhynchus,B,NA,2
DE284N1,Sandlance,Ammodytes personatus,B,NA,1
DE293N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE293N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
DE293N1,Sockeye salmon,Oncorhynchus nerka,M,J,2
DE295N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
DE299N1,Shiner perch,Cymatogaster aggregata,B,NA,1
DE301N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,5
DE301N1,Chinook salmon,Oncorhynchus tshawytscha,M,J,1
DE302N1,Sockeye salmon,Oncorhynchus nerka,M,J,3
DE307N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,4
DE315N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
DE321N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
DE335N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE353N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
DE360N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
DE370N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,10
DE371N2,Sockeye salmon,Oncorhynchus nerka,M,J,3
DE372N1,Chum salmon,Oncorhynchus keta,M,J,1
DE378N1,Rockfish,Sebastes,B,J,1
DE462N2,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
DE463N1,Opalescent squid,Loligo opalescens ,B,NA,1
JE105N2,Dolly Varden trout,Salvelinus malma,B,NA,5
JE106N4,Salmon,Oncorhynchus,B,NA,4
JE107N2,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
JE112N1,Starry flounder,Platichthys stellatus,B,NA,1
JE115N1,Dolly Varden trout,Salvelinus malma,B,J,1
JE116N1,Salmon,Oncorhynchus,B,J,1
JE116N1,Sockeye salmon,Oncorhynchus nerka,M,J,6
JE116N1,Chum salmon,Oncorhynchus keta,M,J,2
JE123N3,Chum salmon,Oncorhynchus keta,M,J,2
JE146N1,Chum salmon,Oncorhynchus keta,M,J,4
JE148N3,Chinook salmon,Oncorhynchus tshawytscha,B,J,1
JE152N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
JE162N1,Percy,Percidae,B,NA,1
JE163N1,Gunnel,Pholis laeta,B,NA,3
JE163N1,Salmon,Oncorhynchus,B,NA,3
JE163N1,Chum salmon,Oncorhynchus keta,M,J,1
JE165N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE165N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
JE168N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
JE182N1,Tubesnout,Aulorhynchus flavidus,B,NA,30
JE182N1,Chum salmon,Oncorhynchus keta,M,J,2
JE186N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
JE195N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE198N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE201N3,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE203N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,3
JE205N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,2
JE209N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE210N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE211N1,Tubesnout,Aulorhynchus flavidus,B,NA,1
JE225N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE231N1,Sockeye salmon,Oncorhynchus nerka,M,J,3
JE233N1,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
JE243N2,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
JE245N2,Threespine stickleback,Gasterosteus aculeatus ,B,NA,1
JE245N2,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE245N2,Sockeye salmon,Oncorhynchus nerka,M,J,1
JE250N2,Sockeye salmon,Oncorhynchus nerka,M,J,3
JE253N1,Pink salmon,Oncorhynchus gorbuscha,M,J,3
JE256N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
JE258N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE258N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
JE259N3,Sockeye salmon,Oncorhynchus nerka,M,J,2
JE264N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE264N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE269N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE269N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,1
JE269N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
JE269N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
JE270N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
JE270N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
JE271N1,Chum salmon,Oncorhynchus keta,M,J,1
JE271N1,Chum salmon,Oncorhynchus keta,M,J,1
JE272N2,Sockeye salmon,Oncorhynchus nerka,M,J,3
JE273N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
JE273N1,Sockeye salmon,Oncorhynchus nerka,M,J,1
JE273N1,Chum salmon,Oncorhynchus keta,M,J,2
JE273N1,Chum salmon,Oncorhynchus keta,M,J,2
JE273N1,Pink salmon,Oncorhynchus gorbuscha,M,J,2
JE273N1,Pink salmon,Oncorhynchus gorbuscha,M,J,2
JE276N1,Chum salmon,Oncorhynchus keta,M,J,1
JE276N1,Pink salmon,Oncorhynchus gorbuscha,M,J,1
