x,y,region,year,daily_percent,species
136,9.901299269558715,DI,2015,NA,Sockeye
137,12.103429687015613,DI,2015,2.202130417456898,Sockeye
138,14.715340191128675,DI,2015,2.6119105041130624,Sockeye
139,17.776902203774736,DI,2015,3.0615620126460605,Sockeye
140,21.316225130199847,DI,2015,3.539322926425111,Sockeye
141,25.343021132156338,DI,2015,4.026796001956491,Sockeye
142,29.842005368784918,DI,2015,4.49898423662858,Sockeye
143,34.767722465328816,DI,2015,4.925717096543899,Sockeye
144,40.04243892967224,DI,2015,5.27471646434342,Sockeye
145,45.558505278298306,DI,2015,5.516066348626069,Sockeye
146,51.18574075747118,DI,2015,5.6272354791728745,Sockeye
147,56.783081078856064,DI,2015,5.597340321384884,Sockeye
148,62.21241999503879,DI,2015,5.429338916182729,Sockeye
149,67.35184627455159,DI,2015,5.139426279512797,Sockeye
150,72.10568201655347,DI,2015,4.753835742001883,Sockeye
151,76.409765328485,DI,2015,4.304083311931521,Sockeye
152,80.23180212892801,DI,2015,3.8220368004430156,Sockeye
153,83.56777071501928,DI,2015,3.335968586091269,Sockeye
154,86.43595448677891,DI,2015,2.8681837717596324,Sockeye
155,88.87018313557684,DI,2015,2.4342286487979266,Sockeye
156,90.91348427271299,DI,2015,2.0433011371361545,Sockeye
157,92.61284135989739,DI,2015,1.6993570871843957,Sockeye
158,94.01530641025765,DI,2015,1.402465050360263,Sockeye
159,95.16541037478032,DI,2015,1.1501039645226712,Sockeye
160,96.10365389049288,DI,2015,0.938243515712557,Sockeye
161,96.86581028831124,DI,2015,0.7621563978183588,Sockeye
162,97.48278771780826,DI,2015,0.6169774294970267,Sockeye
163,97.98084244591203,DI,2015,0.4980547281037673,Sockeye
164,98.3819878839117,DI,2015,0.4011454379996735,Sockeye
165,98.70449161342624,DI,2015,0.322503729514537,Sockeye
166,98.96339089917542,DI,2015,0.2588992857491803,Sockeye
167,99.17098533149392,DI,2015,0.20759443231850128,Sockeye
168,99.33728468296596,DI,2015,0.16629935147203412,Sockeye
169,99.47040273094404,DI,2015,0.1331180479780869,Sockeye
170,99.57689556264646,DI,2015,0.1064928317024112,Sockeye
171,99.66204728568599,DI,2015,0.08515172303953022,Sockeye
172,99.73010827935539,DI,2015,0.06806099366940543,Sockeye
173,99.78449196896632,DI,2015,0.054383689610929764,Sockeye
174,99.82793614927694,DI,2015,0.043444180310615366,Sockeye
175,99.86263449045482,DI,2015,0.034698341177886505,Sockeye
176,99.89034326142209,DI,2015,0.02770877096726565,Sockeye
177,99.9124676392315,DI,2015,0.022124377809404905,Sockeye
178,99.93013131790394,DI,2015,0.01766367867244867,Sockeye
179,99.94423252674855,DI,2015,0.014101208844607527,Sockeye
180,99.95548903442504,DI,2015,0.011256507676492333,Sockeye
181,99.9644742553054,DI,2015,0.008985220880362021,Sockeye
182,99.97164618609399,DI,2015,0.007171930788587133,Sockeye
183,99.97737057657802,DI,2015,0.005724390484033393,Sockeye
184,99.98193947078019,DI,2015,0.004568894202165552,Sockeye
185,99.98558603548794,DI,2015,0.003646564707750599,Sockeye
186,99.98849641444787,DI,2015,0.002910378959924742,Sockeye
187,99.99081920156728,DI,2015,0.0023227871194109184,Sockeye
188,99.99267300928753,DI,2015,0.0018538077202521208,Sockeye
136,5.656543818876911,DI,2015,NA,Chum
137,6.3440087263536284,DI,2015,0.6874649074767172,Chum
138,7.108728801273032,DI,2015,0.7647200749194036,Chum
139,7.957797366711806,DI,2015,0.849068565438774,Chum
140,8.898564014200748,DI,2015,0.9407666474889416,Chum
141,9.938538613536677,DI,2015,1.0399745993359293,Chum
142,11.08526571766988,DI,2015,1.1467271041332037,Chum
143,12.346166275015863,DI,2015,1.2609005573459822,Chum
144,13.728344563098183,DI,2015,1.3821782880823203,Chum
145,15.23835982254072,DI,2015,1.5100152594425378,Chum
146,16.881964274329597,DI,2015,1.6436044517888764,Chum
147,18.663812070239665,DI,2015,1.7818477959100676,Chum
148,20.587147199043432,DI,2015,1.9233351288037674,Chum
149,22.653482279394215,DI,2015,2.0663350803507825,Chum
150,24.862284206414593,DI,2015,2.208801927020378,Chum
151,27.210686329893047,DI,2015,2.3484021234784542,Chum
152,29.693249648949088,DI,2015,2.482563319056041,Chum
153,32.3017967641293,DI,2015,2.6085471151802118,Chum
154,35.025341415582346,DI,2015,2.7235446514530466,Chum
155,37.85013289746468,DI,2015,2.824791481882336,Chum
156,40.75982831765081,DI,2015,2.909695420186125,Chum
157,43.735796831489594,DI,2015,2.9759685138387866,Chum
158,46.75754935663609,DI,2015,3.0217525251464963,Chum
159,49.803276042582475,DI,2015,3.0457266859463843,Chum
160,52.85046337140384,DI,2015,3.047187328821366,Chum
161,55.87655468575328,DI,2015,3.0260913143494363,Chum
162,58.85961340154916,DI,2015,2.9830587157958846,Chum
163,61.77894787927927,DI,2015,2.9193344777301107,Chum
164,64.61566094450916,DI,2015,2.836713065229887,Chum
165,67.35309473205089,DI,2015,2.7374337875417325,Chum
166,69.97715170717387,DI,2015,2.6240569751229827,Chum
167,72.47648392753241,DI,2015,2.4993322203585393,Chum
168,74.8425533836653,DI,2015,2.366069456132891,Chum
169,77.06957537749702,DI,2015,2.2270219938317126,Chum
170,79.15436356893953,DI,2015,2.084788191442513,Chum
171,81.09609921721228,DI,2015,1.9417356482727541,Chum
172,82.89604837383294,DI,2015,1.7999491566206558,Chum
173,84.55724977512325,DI,2015,1.6612014012903131,Chum
174,86.08419353830654,DI,2015,1.526943763183283,Chum
175,87.48250713630861,DI,2015,1.3983135980020762,Chum
176,88.75866110374386,DI,2015,1.2761539674352491,Chum
177,89.91970298142552,DI,2015,1.1610418776816545,Chum
178,90.97302446556374,DI,2015,1.0533214841382232,Chum
179,91.92616377739847,DI,2015,0.9531393118347324,Chum
180,92.78664297953891,DI,2015,0.8604792021404393,Chum
181,93.56183832120448,DI,2015,0.7751953416655653,Chum
182,94.25888062563892,DI,2015,0.6970423044344471,Chum
183,94.88458214081467,DI,2015,0.6257015151757486,Chum
184,95.44538605269244,DI,2015,0.5608039118777697,Chum
185,95.94733490761745,DI,2015,0.5019488549250042,Chum
186,96.39605441881106,DI,2015,0.44871951119361597,Chum
187,96.79674946957107,DI,2015,0.40069505076000667,Chum
188,97.154209517597,DI,2015,0.3574600480259278,Chum
135,6.392828860581206,DI,2016,NA,Sockeye
136,7.633524430231248,DI,2016,1.2406955696500424,Sockeye
137,9.091622672089294,DI,2016,1.4580982418580453,Sockeye
138,10.795683347010646,DI,2016,1.7040606749213527,Sockeye
139,12.774258666236408,DI,2016,1.9785753192257616,Sockeye
140,15.054259946326745,DI,2016,2.280001280090337,Sockeye
141,17.658819432491978,DI,2016,2.6045594861652326,Sockeye
142,20.604694144977643,DI,2016,2.945874712485665,Sockeye
143,23.899366449673302,DI,2016,3.294672304695659,Sockeye
144,27.538128968917295,DI,2016,3.6387625192439934,Sockeye
145,31.50157367966145,DI,2016,3.963444710744156,Sockeye
146,35.75399381176699,DI,2016,4.252420132105538,Sockeye
147,40.24320116433837,DI,2016,4.489207352571384,Sockeye
148,44.90212043960654,DI,2016,4.658919275268168,Sockeye
149,49.65224243252588,DI,2016,4.75012199291934,Sockeye
150,54.408650383014745,DI,2016,4.756407950488864,Sockeye
151,59.085979137378445,DI,2016,4.6773287543637,Sockeye
152,63.60444091148892,DI,2016,4.518461774110477,Sockeye
153,67.89503491979002,DI,2016,4.290594008301099,Sockeye
154,71.90325699591244,DI,2016,4.008222076122422,Sockeye
155,75.59096815579797,DI,2016,3.6877111598855237,Sockeye
156,78.93645384863794,DI,2016,3.345485692839972,Sockeye
157,81.9330027605803,DI,2016,2.996548911942355,Sockeye
158,84.58649624066396,DI,2016,2.653493480083668,Sockeye
159,86.91252318759162,DI,2016,2.326026946927655,Sockeye
160,88.93345709645456,DI,2016,2.0209339088629434,Sockeye
161,90.6758030591731,DI,2016,1.7423459627185451,Sockeye
162,92.16798766109434,DI,2016,1.4921846019212381,Sockeye
163,93.43865228636254,DI,2016,1.2706646252681963,Sockeye
164,94.51543180693173,DI,2016,1.0767795205691897,Sockeye
165,95.4241553417716,DI,2016,0.908723534839865,Sockeye
166,96.18838682434847,DI,2016,0.764231482576875,Sockeye
167,96.82922189660115,DI,2016,0.6408350722526848,Sockeye
168,97.3652664875084,DI,2016,0.5360445909072524,Sockeye
169,97.81273565068676,DI,2016,0.4474691631783543,Sockeye
170,98.18562518541037,DI,2016,0.37288953472361186,Sockeye
171,98.49592124898072,DI,2016,0.3102960635703482,Sockeye
172,98.75382372219968,DI,2016,0.2579024732189623,Sockeye
173,98.96796734277534,DI,2016,0.21414362057565484,Sockeye
174,99.14563076811528,DI,2016,0.17766342533994361,Sockeye
175,99.29292811645874,DI,2016,0.1472973483434572,Sockeye
176,99.41498054089821,DI,2016,0.12205242443947384,Sockeye
